time_sec,total_area_um2,num_active_islands,total_area_um2_smooth
6.7,42539.853,21,39077.42187
6.733,42539.853,21,39067.20911776447
6.767,48381.307,32,39057.03705378486
6.8,48381.307,32,39046.90543538768
6.833,48381.307,32,39036.8140218254
6.867,64863.254,34,39031.859746534654
6.9,64863.254,34,39026.925053359686
6.933,64863.254,34,39032.576145956606
6.967,64863.254,34,39038.20499015749
7.0,64863.254,34,39043.811717092336
7.033,59042.699,26,39049.39645686274
7.067,59042.699,26,39054.95933855186
7.1,59042.699,26,39060.50049023437
7.133,41240.522,15,39062.7971208577
7.167,41240.522,15,39065.0848151751
7.2,41240.522,15,39058.3768854369
7.233,41240.522,15,39051.694955426356
7.267,41240.522,15,39045.038874274665
7.3,41240.522,15,39038.408492277995
7.333,41240.522,15,39031.803660886326
7.367,41240.522,15,39025.22423269231
7.4,41240.522,15,39018.670061420344
7.433,41240.522,15,39012.14100191571
7.467,41240.522,15,39005.63691013384
7.5,41240.522,15,38999.15764312977
7.533,41240.522,15,38992.70305904761
7.567,41240.522,15,38986.27301711027
7.6,41240.522,15,38979.86737760911
7.633,41240.522,15,38973.48600189394
7.667,38291.523,24,38967.12875236295
7.7,38291.523,24,38960.79549245283
7.733,38291.523,24,38954.486086629004
7.767,38291.523,24,38948.200400375936
7.8,38291.523,24,38937.73390056285
7.833,38291.523,24,38927.3066011236
7.867,38291.523,24,38927.10622056075
7.9,38291.523,24,38926.906587686564
7.933,34305.026,19,38926.70769832402
7.967,34305.026,19,38926.509548327136
8.0,34305.026,19,38926.3121335807
8.033,34305.026,19,38926.11545
8.067,46927.09,27,38920.83884658041
8.1,46927.09,27,38915.58171402214
8.133,46927.09,27,38907.654510128916
8.167,46927.09,27,38899.75645036765
8.2,46927.09,27,38891.887374311926
8.233,46927.09,27,38884.04712271062
8.267,46927.09,27,38876.23553747715
8.3,46927.09,27,38868.45246167883
8.333,41556.443,21,38860.69773952641
8.367,47557.701,25,38852.971216363636
8.4,47557.701,25,38845.27273865698
8.433,47557.701,25,38837.60215398551
8.467,47557.701,25,38829.95931103074
8.5,47557.701,25,38826.95268050541
8.533,47557.701,25,38823.95688468468
8.567,47557.701,25,38820.97186510792
8.6,47557.701,25,38817.99756373429
8.633,40668.915,15,38815.033922939074
8.667,40668.915,15,38812.08088550984
8.7,40668.915,15,38809.138394642854
8.733,40668.915,15,38806.20639393939
8.767,40668.915,15,38798.868670818505
8.8,40668.915,15,38791.55701420959
8.833,40668.915,15,38784.27128546099
8.867,40668.915,15,38777.011346902655
8.9,40668.915,15,38769.77706183745
8.933,40668.915,15,38762.56829453263
8.967,41235.607,22,38755.384910211265
9.0,41235.607,22,38748.226775043935
9.033,43089.331,25,38741.09375614035
9.067,43089.331,25,38733.985721541154
9.1,43089.331,25,38726.90254020979
9.133,43089.331,25,38728.02415183246
